location,price_per_month,bed num,bath num,sqft,url of rental info,latitude,longitude
"38 Beard St FL 1ST,Staten Island,NY,10314",1200.0,1,1.0,650.0,https://www.zillow.com/homedetails/38-Beard-St-FL-1ST-Staten-Island-NY-10314/2087143120_zpid/,40.5874729,-74.1491589
"Elson St,Staten Island,NY,10314",1200.0,1,1.0,1884.0,https://www.zillow.com/homedetails/Elson-St-Staten-Island-NY-10314/2085210579_zpid/,40.616391,-74.1663866
"Elson St,Staten Island,NY,10314",1200.0,1,1.0,600.0,https://www.zillow.com/homedetails/Elson-St-Staten-Island-NY-10314/2085207500_zpid/,40.616391,-74.1663866
"Elson St,Staten Island,NY,10314",1200.0,1,1.0,600.0,https://www.zillow.com/homedetails/Elson-St-Staten-Island-NY-10314/2085207479_zpid/,40.616391,-74.1663866
"E 14th St,Brooklyn,NY,11235",1200.0,1,1.0,600.0,https://www.zillow.com/homedetails/E-14th-St-Brooklyn-NY-11235/2085293333_zpid/,40.5899815,-73.95567249999999
"Darnell Ln,Staten Island,NY,10309",1200.0,1,1.0,1900.0,https://www.zillow.com/homedetails/Darnell-Ln-Staten-Island-NY-10309/2096260173_zpid/,40.536702,-74.2225181
"E 13th St,Brooklyn,NY,11229",1200.0,1,1.0,600.0,https://www.zillow.com/homedetails/E-13th-St-Brooklyn-NY-11229/2085372085_zpid/,40.6032737,-73.9591283
"E 14th St,Brooklyn,NY,11229",1200.0,1,1.0,6000.0,https://www.zillow.com/homedetails/E-14th-St-Brooklyn-NY-11229/2085383777_zpid/,40.5987264,-73.9573289
"E 14th St,Brooklyn,NY,11229",1200.0,1,1.0,600.0,https://www.zillow.com/homedetails/E-14th-St-Brooklyn-NY-11229/2085383845_zpid/,40.5987264,-73.9573289
"Bay Ridge Pkwy,Brooklyn,NY,11204",1200.0,1,1.0,1100.0,https://www.zillow.com/homedetails/Bay-Ridge-Pkwy-Brooklyn-NY-11204/2086123101_zpid/,40.610846,-73.991767
"24th Ave,Brooklyn,NY,11204",1200.0,1,1.0,1100.0,https://www.zillow.com/homedetails/24th-Ave-Brooklyn-NY-11204/2085142288_zpid/,40.612328,-73.97579000000002
"Elson St,Staten Island,NY,10314",1200.0,1,1.0,1100.0,https://www.zillow.com/homedetails/Elson-St-Staten-Island-NY-10314/2085206411_zpid/,40.616391,-74.1663866
"77 Santa Monica Ln,Staten Island,NY,10309",1200.0,1,1.0,1100.0,https://www.zillow.com/homedetails/77-Santa-Monica-Ln-Staten-Island-NY-10309/64610465_zpid/,40.536596,-74.212175
"E 14th St,Brooklyn,NY,11235",1200.0,1,1.0,600.0,https://www.zillow.com/homedetails/E-14th-St-Brooklyn-NY-11235/2085026765_zpid/,40.5899815,-73.95567249999999
"234th St,Queens,NY,11422",1200.0,1,1.0,4450.0,https://www.zillow.com/homedetails/234th-St-Queens-NY-11422/2085769164_zpid/,40.675277,-73.735653
"Rockaway St,Staten Island,NY,10307",1200.0,1,1.0,4450.0,https://www.zillow.com/homedetails/Rockaway-St-Staten-Island-NY-10307/2085384229_zpid/,40.5025332,-74.2398865
"Avenue U,Brooklyn,NY,11229",1200.0,1,1.0,600.0,https://www.zillow.com/homedetails/Avenue-U-Brooklyn-NY-11229/2085064313_zpid/,40.6042189,-73.9311852
"1502 Sheridan Ave,Bronx,NY,10457",1225.0,1,1.0,550.0,https://www.zillow.com/homedetails/1502-Sheridan-Ave-Bronx-NY-10457/2085216722_zpid/,40.8406492,-73.9111981
"2165 Ryer Ave # 1,Bronx,NY,10457",1225.0,1,1.0,550.0,https://www.zillow.com/homedetails/2165-Ryer-Ave-1-Bronx-NY-10457/2085454086_zpid/,40.8546116,-73.9004334
"Stadium Ave,Bronx,NY,10465",1225.0,1,1.0,550.0,https://www.zillow.com/homedetails/Stadium-Ave-Bronx-NY-10465/2100188193_zpid/,40.8415982,-73.8202542
"1455 Sheridan Ave # 1,Bronx,NY,10457",1225.0,1,1.0,365.0,https://www.zillow.com/homedetails/1455-Sheridan-Ave-1-Bronx-NY-10457/2085485768_zpid/,40.8398921,-73.91217089999999
"439 Bainbridge St # 1,Brooklyn,NY,11233",1250.0,1,1.0,365.0,https://www.zillow.com/homedetails/439-Bainbridge-St-1-Brooklyn-NY-11233/2112732658_zpid/,40.682553,-73.919174
"Sheldon Ave,Staten Island,NY,10312",1250.0,1,1.0,500.0,https://www.zillow.com/homedetails/Sheldon-Ave-Staten-Island-NY-10312/2101173435_zpid/,40.5414282,-74.19550079999999
"139-09 84dr,Briarwood,NY,11435",1250.0,1,1.0,600.0,https://www.zillow.com/homedetails/139-09-84dr-Briarwood-NY-11435/2098824043_zpid/,40.7096751,-73.81750629999999
"15th Ave,Brooklyn,NY,11219",1250.0,1,1.0,600.0,https://www.zillow.com/homedetails/15th-Ave-Brooklyn-NY-11219/2087779199_zpid/,40.629006,-73.99121199999999
"Bedford Ave,BROOKLYN,NY,11229",1250.0,1,1.0,500.0,https://www.zillow.com/homedetails/Bedford-Ave-Brooklyn-NY-11229/2085417469_zpid/,40.5984043,-73.9463384
