title,address,city,state,postal_code,price,facts and features,real estate provider,url
Apartment for rent,339 Bradford St # 1,Brooklyn,NY,11207,"$1,900/mo","1 bd , 1 ba , 800 sqft",,https://www.zillow.com/homedetails/339-Bradford-St-1-Brooklyn-NY-11207/2085304241_zpid/
For Rent,,,,,,"3 $2,500+",,"https://www.zillow.com/b/715-E-37th-St-Brooklyn-NY/40.639533,-73.941404_ll/"
For Rent,,,,,,"2 $2,300+",,"https://www.zillow.com/b/84-George-St-Brooklyn-NY/40.702264,-73.930256_ll/"
Apartment for rent,252 E 3rd St # 4A,New York,NY,10009,"$3,200/mo","2 bds , 1 ba , -- sqft",,https://www.zillow.com/homedetails/252-E-3rd-St-4A-New-York-NY-10009/2085304244_zpid/
Apartment for rent,59 Greenpoint Ave # 205,Brooklyn,NY,11222,"$3,250/mo","2 bds , 1 ba , -- sqft",,https://www.zillow.com/homedetails/59-Greenpoint-Ave-205-Brooklyn-NY-11222/2085304239_zpid/
Apartment for rent,201 E 12th St APT 217,New York,NY,10003,"$3,995/mo","1 bd , 1 ba , -- sqft",,https://www.zillow.com/homedetails/201-E-12th-St-APT-217-New-York-NY-10003/2105490561_zpid/
Apartment for rent,47 Jane St APT 8,New York,NY,10014,"$2,350/mo","Studio , 1 ba , -- sqft",,https://www.zillow.com/homedetails/47-Jane-St-APT-8-New-York-NY-10014/2113669929_zpid/
House for rent,1204 E 222nd St,Bronx,NY,10469,"$2,000/mo","3 bds , 1 ba , 1,450 sqft",,https://www.zillow.com/homedetails/1204-E-222nd-St-Bronx-NY-10469/29829126_zpid/
Apartment for rent,Caney Rd,Rosedale,NY,11422,"$2,575/mo","3 bds , 2 ba , 1,200 sqft",,https://www.zillow.com/homedetails/Caney-Rd-Rosedale-NY-11422/2085304298_zpid/
Apartment for rent,30 Columbia Brooklyn,Brooklyn,NY,11202,"$2,100/mo","1 bd , 1 ba , -- sqft",,https://www.zillow.com/homedetails/30-Columbia-Brooklyn-Brooklyn-NY-11202/2087978734_zpid/
Apartment for rent,405 W 23rd St APT 3C,New York,NY,10011,"$3,000/mo","Studio , 1 ba , 320,433 sqft",,https://www.zillow.com/homedetails/405-W-23rd-St-APT-3C-New-York-NY-10011/244848738_zpid/
Apartment for rent,49 Montrose Ave # 5CYX,Brooklyn,NY,11206,"$3,999/mo","3 bds , 1 ba , -- sqft",,https://www.zillow.com/homedetails/49-Montrose-Ave-5CYX-Brooklyn-NY-11206/2085304312_zpid/
Apartment for rent,49 Montrose Ave # 5CYX,Brooklyn,NY,11206,"$3,999/mo","3 bds , 1 ba , -- sqft",,https://www.zillow.com/homedetails/49-Montrose-Ave-5CYX-Brooklyn-NY-11206/2085304312_zpid/
Apartment for rent,20 Ackerman St # 1,Staten Island,NY,10308,"$2,700/mo","3 bds , 2 ba , 1,825 sqft",,https://www.zillow.com/homedetails/20-Ackerman-St-1-Staten-Island-NY-10308/2085304322_zpid/
Apartment for rent,15 Kathy Pl APT 3A,Staten Island,NY,10314,"$2,150/mo","3 bds , 1.5 ba , 1,077 sqft",,https://www.zillow.com/homedetails/15-Kathy-Pl-APT-3A-Staten-Island-NY-10314/32315283_zpid/
House for rent,44 Hillcrest St,Staten Island,NY,10308,"$3,000/mo","3 bds , 3.5 ba , 2,000 sqft",,https://www.zillow.com/homedetails/44-Hillcrest-St-Staten-Island-NY-10308/32348088_zpid/
House for rent,21 Dongan Ave,Staten Island,NY,10314,"$1,700/mo","2 bds , 1 ba , 1,776 sqft",,https://www.zillow.com/homedetails/21-Dongan-Ave-Staten-Island-NY-10314/32280381_zpid/
Apartment for rent,14808 Sutter Ave # 2,Jamaica,NY,11436,"$2,400/mo","3 bds , 1 ba , -- sqft",,https://www.zillow.com/homedetails/14808-Sutter-Ave-2-Jamaica-NY-11436/2085304387_zpid/
House for rent,16528 144th Dr,Jamaica,NY,11434,"$3,000/mo","3 bds , 1 ba , 1,150 sqft",,https://www.zillow.com/homedetails/16528-144th-Dr-Jamaica-NY-11434/32206882_zpid/
House for rent,10147 121st St,Jamaica,NY,11419,"$2,200/mo","3 bds , 1 ba , 2,178 sqft",,https://www.zillow.com/homedetails/10147-121st-St-Jamaica-NY-11419/32124182_zpid/
For Rent,,,,,,"3 $2,300+",,"https://www.zillow.com/b/1072-Intervale-Ave-Bronx-NY/40.82535,-73.896476_ll/"
Apartment for rent,5630 215th St,Bayside Hills,NY,11364,"$3,600/mo","3 bds , 1.5 ba , 1,296 sqft",,https://www.zillow.com/homedetails/5630-215th-St-Bayside-Hills-NY-11364/32084865_zpid/
Apartment for rent,1586 208th St FL 2ND,Bayside,NY,11360,"$2,500/mo","3 bds , 2 ba , 1,188 sqft",,https://www.zillow.com/homedetails/1586-208th-St-FL-2ND-Bayside-NY-11360/2117453249_zpid/
